PositionBefore,PositionGapToLeader,IsLeader,IsTopThree,IsMidfield,IsBackmarker,TyreLife,Compound_Numeric,FreshTyre,RaceProgress,EarlyRace,MidRace,LateRace,LapsToEnd,OvertakingDifficulty_Numeric,PitLossSeconds,EstimatedStintLength,InTypicalPitWindow,Year
2.0,1.0,0,1,0,0,17.0,1.0,False,0.24561403508771928,1,0,0,43.0,3,20.0,17.0,0,2022
2.0,1.0,0,1,0,0,1.0,1.0,True,0.2631578947368421,1,0,0,42.0,3,20.0,1.0,1,2022
2.0,1.0,0,1,0,0,16.0,1.0,True,0.5263157894736842,0,1,0,27.0,3,20.0,16.0,1,2022
2.0,1.0,0,1,0,0,1.0,2.0,True,0.543859649122807,0,1,0,26.0,3,20.0,1.0,1,2022
7.0,6.0,0,0,1,0,17.0,1.0,False,0.24561403508771928,1,0,0,43.0,3,20.0,17.0,0,2022
7.0,6.0,0,0,1,0,1.0,2.0,True,0.2631578947368421,1,0,0,42.0,3,20.0,1.0,1,2022
8.0,7.0,0,0,1,0,18.0,2.0,True,0.5614035087719298,0,1,0,25.0,3,20.0,18.0,1,2022
8.0,7.0,0,0,1,0,1.0,3.0,True,0.5789473684210527,0,1,0,24.0,3,20.0,1.0,1,2022
3.0,2.0,0,1,0,0,18.0,1.0,False,0.2631578947368421,1,0,0,42.0,3,20.0,18.0,1,2022
2.0,1.0,0,1,0,0,1.0,2.0,True,0.2807017543859649,1,0,0,41.0,3,20.0,1.0,1,2022
2.0,1.0,0,1,0,0,18.0,2.0,True,0.5789473684210527,0,1,0,24.0,3,20.0,18.0,1,2022
2.0,1.0,0,1,0,0,4.0,1.0,False,0.5964912280701754,0,1,0,23.0,3,20.0,4.0,1,2022
10.0,9.0,0,0,1,0,14.0,1.0,False,0.19298245614035087,1,0,0,46.0,3,20.0,14.0,0,2022
11.0,10.0,0,0,1,0,1.0,2.0,True,0.21052631578947367,1,0,0,45.0,3,20.0,1.0,0,2022
9.0,8.0,0,0,1,0,14.0,2.0,True,0.43859649122807015,0,1,0,32.0,3,20.0,14.0,1,2022
10.0,9.0,0,0,1,0,1.0,3.0,True,0.45614035087719296,0,1,0,31.0,3,20.0,1.0,1,2022
1.0,0.0,1,1,0,0,15.0,1.0,True,0.2631578947368421,1,0,0,42.0,3,20.0,15.0,1,2022
1.0,0.0,1,1,0,0,4.0,1.0,False,0.2807017543859649,1,0,0,41.0,3,20.0,4.0,1,2022
1.0,0.0,1,1,0,0,19.0,1.0,False,0.543859649122807,0,1,0,26.0,3,20.0,19.0,1,2022
1.0,0.0,1,1,0,0,1.0,2.0,True,0.5614035087719298,0,1,0,25.0,3,20.0,1.0,1,2022
10.0,9.0,0,0,1,0,18.0,1.0,True,0.3157894736842105,1,0,0,39.0,3,20.0,18.0,1,2022
12.0,11.0,0,0,1,0,1.0,1.0,True,0.3333333333333333,0,1,0,38.0,3,20.0,1.0,1,2022
14.0,13.0,0,0,1,0,20.0,1.0,True,0.6666666666666666,0,1,0,19.0,3,20.0,20.0,1,2022
14.0,13.0,0,0,1,0,1.0,2.0,True,0.6842105263157895,0,0,1,18.0,3,20.0,1.0,1,2022
