Race,Year,Circuit,Driver,DriverNumber,Team,LapNumber,PositionBefore,PositionAfter,PositionChange,ValidLapsEvaluated,Compound,TyreLife,FreshTyre,TrackStatus,IsSafetyCarPit,IsYellowFlagPit,TotalRaceLaps,RaceProgress,Label,OvertakingDifficulty,PitLossSeconds,OvertakingDifficulty_Numeric,PositionGapToLeader,IsLeader,IsTopThree,IsMidfield,IsBackmarker,TyreLife_Category,Compound_Numeric,EarlyRace,MidRace,LateRace,LapsToEnd,EstimatedStintLength,InTypicalPitWindow
Bahrain Grand Prix,2022,Sakhir,VER,1,Red Bull Racing,14.0,2.0,2.0,0.0,4,SOFT,17.0,False,1,False,False,57.0,0.24561403508771928,1.0,Easy,20.0,3,1.0,0,1,0,0,Good,1.0,1,0,0,43.0,17.0,0
Bahrain Grand Prix,2022,Sakhir,VER,1,Red Bull Racing,15.0,2.0,2.0,0.0,5,SOFT,1.0,True,12,False,True,57.0,0.2631578947368421,1.0,Easy,20.0,3,1.0,0,1,0,0,Fresh,1.0,1,0,0,42.0,1.0,1
Bahrain Grand Prix,2022,Sakhir,VER,1,Red Bull Racing,30.0,2.0,3.0,1.0,4,SOFT,16.0,True,1,False,False,57.0,0.5263157894736842,1.0,Easy,20.0,3,1.0,0,1,0,0,Good,1.0,0,1,0,27.0,16.0,1
Bahrain Grand Prix,2022,Sakhir,VER,1,Red Bull Racing,31.0,2.0,2.8,0.7999999999999998,5,MEDIUM,1.0,True,1,False,False,57.0,0.543859649122807,1.0,Easy,20.0,3,1.0,0,1,0,0,Fresh,2.0,0,1,0,26.0,1.0,1
Bahrain Grand Prix,2022,Sakhir,GAS,10,AlphaTauri,14.0,7.0,8.0,1.0,4,SOFT,17.0,False,12,False,True,57.0,0.24561403508771928,1.0,Easy,20.0,3,6.0,0,0,1,0,Good,1.0,1,0,0,43.0,17.0,0
Bahrain Grand Prix,2022,Sakhir,GAS,10,AlphaTauri,15.0,7.0,8.0,1.0,5,MEDIUM,1.0,True,1,False,False,57.0,0.2631578947368421,1.0,Easy,20.0,3,6.0,0,0,1,0,Fresh,2.0,1,0,0,42.0,1.0,1
Bahrain Grand Prix,2022,Sakhir,GAS,10,AlphaTauri,32.0,8.0,9.25,1.25,4,MEDIUM,18.0,True,1,False,False,57.0,0.5614035087719298,1.0,Easy,20.0,3,7.0,0,0,1,0,Good,2.0,0,1,0,25.0,18.0,1
Bahrain Grand Prix,2022,Sakhir,GAS,10,AlphaTauri,33.0,8.0,9.0,1.0,5,HARD,1.0,True,1,False,False,57.0,0.5789473684210527,1.0,Easy,20.0,3,7.0,0,0,1,0,Fresh,3.0,0,1,0,24.0,1.0,1
Bahrain Grand Prix,2022,Sakhir,PER,11,Red Bull Racing,15.0,3.0,4.0,1.0,4,SOFT,18.0,False,21,False,True,57.0,0.2631578947368421,1.0,Easy,20.0,3,2.0,0,1,0,0,Good,1.0,1,0,0,42.0,18.0,1
Bahrain Grand Prix,2022,Sakhir,PER,11,Red Bull Racing,16.0,2.0,4.0,2.0,5,MEDIUM,1.0,True,1,False,False,57.0,0.2807017543859649,1.0,Easy,20.0,3,1.0,0,1,0,0,Fresh,2.0,1,0,0,41.0,1.0,1
Bahrain Grand Prix,2022,Sakhir,PER,11,Red Bull Racing,33.0,2.0,4.0,2.0,4,MEDIUM,18.0,True,1,False,False,57.0,0.5789473684210527,1.0,Easy,20.0,3,1.0,0,1,0,0,Good,2.0,0,1,0,24.0,18.0,1
Bahrain Grand Prix,2022,Sakhir,PER,11,Red Bull Racing,34.0,2.0,4.0,2.0,5,SOFT,4.0,False,1,False,False,57.0,0.5964912280701754,1.0,Easy,20.0,3,1.0,0,1,0,0,Fresh,1.0,0,1,0,23.0,4.0,1
Bahrain Grand Prix,2022,Sakhir,ALO,14,Alpine,11.0,10.0,12.75,2.75,4,SOFT,14.0,False,1,False,False,57.0,0.19298245614035087,0.0,Easy,20.0,3,9.0,0,0,1,0,Good,1.0,1,0,0,46.0,14.0,0
Bahrain Grand Prix,2022,Sakhir,ALO,14,Alpine,12.0,11.0,12.0,1.0,5,MEDIUM,1.0,True,1,False,False,57.0,0.21052631578947367,1.0,Easy,20.0,3,10.0,0,0,1,0,Fresh,2.0,1,0,0,45.0,1.0,0
Bahrain Grand Prix,2022,Sakhir,ALO,14,Alpine,25.0,9.0,13.5,4.5,4,MEDIUM,14.0,True,1,False,False,57.0,0.43859649122807015,0.0,Easy,20.0,3,8.0,0,0,1,0,Good,2.0,0,1,0,32.0,14.0,1
Bahrain Grand Prix,2022,Sakhir,ALO,14,Alpine,26.0,10.0,13.0,3.0,5,HARD,1.0,True,1,False,False,57.0,0.45614035087719296,0.0,Easy,20.0,3,9.0,0,0,1,0,Fresh,3.0,0,1,0,31.0,1.0,1
Bahrain Grand Prix,2022,Sakhir,LEC,16,Ferrari,15.0,1.0,1.0,0.0,4,SOFT,15.0,True,12,False,True,57.0,0.2631578947368421,1.0,Easy,20.0,3,0.0,1,1,0,0,Good,1.0,1,0,0,42.0,15.0,1
Bahrain Grand Prix,2022,Sakhir,LEC,16,Ferrari,16.0,1.0,1.0,0.0,5,SOFT,4.0,False,1,False,False,57.0,0.2807017543859649,1.0,Easy,20.0,3,0.0,1,1,0,0,Fresh,1.0,1,0,0,41.0,4.0,1
